Algorithm,InputType,Size,TimeNs,MaxDepth,Comparisons,Swaps
MergeSort,Random,100,84900,8,546,0
MergeSort,Sorted,100,80100,8,356,0
MergeSort,Reverse,100,72300,8,316,0
MergeSort,Duplicates,100,81500,8,535,0
QuickSort,Random,100,113000,4,627,337
QuickSort,Sorted,100,81600,4,613,94
QuickSort,Reverse,100,117300,3,720,334
QuickSort,Duplicates,100,113600,4,805,306
DeterministicSelect,Random,100,83300,5,698,167
DeterministicSelect,Sorted,100,73500,5,559,170
DeterministicSelect,Reverse,100,96200,7,790,176
DeterministicSelect,Duplicates,100,82300,7,694,196
ClosestPair,Random,100,685000,7,126,0
MergeSort,Random,1000,255000,11,8700,0
MergeSort,Sorted,1000,146300,11,5044,0
MergeSort,Reverse,1000,217000,11,4932,0
MergeSort,Duplicates,1000,196300,11,8488,0
QuickSort,Random,1000,374700,5,10957,4971
QuickSort,Sorted,1000,270000,6,10248,1002
QuickSort,Reverse,1000,262400,7,11192,5694
QuickSort,Duplicates,1000,691900,3,54990,3262
DeterministicSelect,Random,1000,382100,11,8025,1868
DeterministicSelect,Sorted,1000,346400,10,6281,1845
DeterministicSelect,Reverse,1000,582800,10,8493,1853
DeterministicSelect,Duplicates,1000,1150700,29,21991,5103
ClosestPair,Random,1000,6444600,10,1148,0
MergeSort,Random,10000,12941400,15,120433,0
MergeSort,Sorted,10000,782300,15,69008,0
MergeSort,Reverse,10000,782700,15,64608,0
MergeSort,Duplicates,10000,1232000,15,116957,0
QuickSort,Random,10000,1707300,10,145318,70052
QuickSort,Sorted,10000,814400,8,160016,10062
QuickSort,Reverse,10000,1512100,8,158793,77030
QuickSort,Duplicates,10000,10032400,3,5045267,23846
DeterministicSelect,Random,10000,3775000,11,81665,18947
DeterministicSelect,Sorted,10000,522600,13,60756,17801
DeterministicSelect,Reverse,10000,737000,13,89919,19357
DeterministicSelect,Duplicates,10000,21337200,205,2821371,621948
ClosestPair,Random,10000,20566000,13,12978,0
